"980,26.70"
"3003,27.10"
"5025,27.10"
"7048,27.10"
"9072,27.60"
"11095,27.90"
"13117,28.00"
"15139,28.50"
"17164,28.90"
"19186,29.30"
"21210,29.80"
"23234,30.20"
"25256,30.80"
"27279,31.30"
"29303,31.80"
"31326,31.80"
"-32188,32.30"
"-30165,32.80"
"-28143,32.80"
"-26119,33.30"
"-24095,33.30"
"-22073,33.80"
"-20050,33.80"
"-18028,34.20"
"-16005,34.20"
"-13980,34.20"
"-11958,34.70"
"-9935,34.70"
"-7912,34.70"
"-5888,34.70"
"-3866,35.20"
"-3866,35.20"
"-1844,35.20"
"180,35.20"
"2203,35.20"
"4226,35.20"
"6248,35.60"
"8270,35.60"
"10295,35.60"
"12317,35.60"
"14340,35.60"
"16364,35.60"
"18386,35.60"
"20409,35.60"
"22431,36.30"
"24456,36.30"
"26478,36.30"
"28500,36.30"
"30523,36.30"
"32547,36.30"
"-30966,36.30"
"-28944,36.30"
"-26919,36.30"
"-24896,36.30"
"-22874,36.30"
"-20851,36.30"
"-18827,36.50"
"-16804,36.90"
"-14782,36.90"
"-12760,36.90"
"-10736,36.90"
"-8714,36.90"
"-6691,36.90"
