ms,degC
-18973,29.80
-16950,29.80
-14925,29.80
-12903,30.20
-10880,30.20
-8858,30.20
-6834,30.80
-4811,30.80
-2789,30.80
-766,31.30
1257,31.30
3279,31.30
5302,31.80
7325,31.80
9348,31.80
11370,31.80
13392,32.30
15417,32.30
17440,32.30
19463,32.80
21485,32.80
23507,32.80
25531,32.80
27555,33.20
29578,33.30
31600,33.30
-31913,33.30
-29891,33.30
-27867,33.80
-25844,33.80
-23822,33.80
-21799,33.80
-19775,33.80
-17753,33.80
-15730,34.20
-13708,34.20
-11684,34.20
-9660,34.20
-7637,34.20
-5615,34.20
-3593,34.40
-1569,34.70
453,34.70
2476,34.70
4498,34.70
6522,34.70
8545,34.70
10567,34.70
12592,34.70
14614,35.20
16636,35.20
18659,35.20
20682,35.20
22707,35.20
24729,35.20
26752,35.20
28774,35.20
30797,35.20
-32714,35.20
-30692,35.20
-28669,35.60
-26647,35.60
-24624,35.60
-22601,35.60
-20579,35.60
-18554,35.60
-16532,35.60
-14510,35.60
-12485,35.60
-10463,35.60
-8440,35.60
-6418,35.60
-4393,35.60
-2371,35.60
-349,35.60
1674,35.80
3698,36.30
5721,36.30
7743,36.30
9765,36.30
11790,36.30
13812,36.30
